movie_id,average_sentiment,neg_sentiment,neu_sentiment,pos_sentiment,genres,revenue,runtime,cluster
23890098,0.0083,0.083,0.832,0.084,"Drama, World cinema",,110.0,2
31186339,-0.9941,0.132,0.791,0.077,"Action/Adventure, Science Fiction, Action, Drama",686533290.0,142.0,3
20663735,-0.9867,0.178,0.704,0.119,"Musical, Action, Drama, Bollywood",,175.0,0
2231378,-0.6127,0.111,0.786,0.103,"Screwball comedy, Comedy",2300000.0,91.0,3
595909,-0.9538,0.108,0.825,0.067,"Crime Fiction, Drama, Docudrama, World cinema, Courtroom Drama",6908797.0,121.0,3
5272176,-0.9946,0.132,0.865,0.003,"Thriller, Action/Adventure, Action, Drama",,93.0,3
1952976,-0.7904,0.084,0.846,0.07,"Thriller, Drama, Horror",49483352.0,105.0,3
24225279,-0.5064,0.111,0.787,0.102,"Drama, Teen",2260616.0,98.0,3
2462689,-0.9898,0.111,0.827,0.062,"Romantic comedy, Media Satire, Americana, Comedy-drama, Black-and-white, Drama, Comedy, Romance Film",,122.0,3
20532852,-0.8176,0.076,0.924,0.0,"Short Film, Family Film, Animation",,,3
15401493,0.9643,0.071,0.795,0.134,Comedy,,90.0,1
18188932,-0.9584,0.202,0.777,0.022,"Crime Fiction, Drama, Comedy, World cinema",2705163.0,108.0,0
2940516,-0.7943,0.17,0.738,0.092,"Parody, Comedy",,93.0,0
1335380,-0.9924,0.128,0.793,0.079,"War film, Epic, Action/Adventure, Period piece, Drama, Film adaptation, Action, Political drama",,212.0,3
1480747,0.9986,0.083,0.761,0.156,"Cult, Coming of age, Comedy, Teen",19438638.0,94.0,1
24448645,-0.9001,0.209,0.695,0.096,Horror,,86.0,0
15072401,-0.8979,0.128,0.823,0.048,"Thriller, Mystery, Comedy film, Crime Fiction, Horror",,72.0,3
4018288,0.9211,0.09,0.751,0.159,Drama,,93.0,1
4596602,-0.8678,0.117,0.78,0.103,"Thriller, Crime Fiction, Indie, Martial Arts Film, Romance Film, Action",,90.0,3
15224586,0.687,0.075,0.823,0.102,"Period piece, Drama, Indie",,112.0,2
15585766,-0.9846,0.182,0.762,0.056,"Drama, War film",,68.0,0
1760737,-0.6858,0.049,0.916,0.034,"Computer Animation, Short Film, Family Film, Animation",,4.0,2
29062594,-0.1027,0.094,0.819,0.087,Drama,,105.0,3
29326153,-0.7184,0.179,0.712,0.109,"Action, Drama, Adventure",,90.0,0
9252321,-0.9977,0.197,0.785,0.018,"Drama, Documentary",,83.0,0
8388648,0.992,0.082,0.757,0.162,Drama,,,1
10644072,-0.996,0.179,0.67,0.152,,,,0
13455076,0.5106,0.107,0.763,0.131,"Short Film, Comedy, Black-and-white",,,1
33269085,0.7713,0.047,0.872,0.081,"Romance Film, Comedy film",,119.0,2
2254491,-0.7315,0.078,0.867,0.054,"Musical, Romance Film, Comedy, Bollywood",,157.0,3
447194,-0.9581,0.132,0.797,0.07,"History, Romance Film, Action, Drama, Adventure",11000000.0,131.0,3
24165951,-0.8316,0.233,0.767,0.0,"Thriller, Romance Film, Action, Adventure",,90.0,0
18549958,0.3781,0.157,0.696,0.147,"Drama, Biopic [feature]",,90.0,1
12978934,-0.714,0.096,0.829,0.075,"Family Film, Family Drama, Drama, Film adaptation",28121100.0,109.0,3
